Name,Nationality,Birthdate
Yvonne Johnson,Iran,1979-10-09
Lisa Gregory,Svalbard & Jan Mayen Islands,1999-12-29
Antonio Smith,Morocco,1970-10-01
Steven Butler,Lebanon,1960-03-16
Maria West,Jordan,1955-02-10
Corey Cooper,Djibouti,1980-11-29
Melinda Dorsey,Timor-Leste,1998-08-29
Bonnie Carter,Rwanda,1974-09-12
Todd Delgado,Guyana,1996-03-12
Sarah Howell,Finland,1990-08-13
John Thompson,Cayman Islands,1986-02-11
Jason Chaney,Gabon,1966-06-13
Yvonne Howard,Eritrea,1972-12-06
Ronald Kline,Antigua and Barbuda,1996-10-08
Brian Perez,Monaco,1965-11-20
Gerald Kelly,Aruba,1994-10-28
Stephanie Castaneda,Tunisia,1981-04-28
Michelle House,Kazakhstan,1996-05-09
Nicole Villegas,Slovenia,1986-05-15
Theresa Colon,Armenia,1980-11-23
Bruce Harris,Guyana,1962-05-01
Jeremy Hunter,Saint Martin,2000-02-22
Jack Fuentes,British Virgin Islands,1998-12-26
Jason Mack,Ecuador,1998-04-03
Dustin Jackson,Ethiopia,1973-09-30
Heather Ortega,Canada,1993-12-05
Rachel Taylor,Japan,1975-12-02
Jimmy Phelps,South Africa,1990-03-02
Jessica Carrillo,Saint Barthelemy,1996-09-27
Angela Edwards,Sierra Leone,1962-09-19
Peter Keller,Norway,1962-01-04
Vanessa Whitney,South Georgia and the South Sandwich Islands,1989-01-03
Elizabeth Morales,Pitcairn Islands,1991-02-24
Mikayla Edwards,Guatemala,1954-06-05
Joseph Knapp,Reunion,1975-06-02
Stacy Weber,Niger,1988-07-26
Stacy Harrington,Iraq,1995-02-08
Angela Medina,Iceland,1992-06-09
Beth Braun,Finland,1965-05-03
Emily Peterson,North Macedonia,1962-06-28
Robert Vargas,Dominican Republic,1998-02-12
Jay Wagner,Saint Martin,1957-03-09
Mark Gomez,Australia,1994-02-08
Joan Armstrong,Albania,1978-01-10
Dr. Virginia Cunningham,Uganda,2003-09-12
Sarah Hall,French Southern Territories,1969-02-02
Michelle Chambers,Rwanda,1974-01-09
Ashley Black,Congo,1997-08-14
Brent Dawson,Switzerland,1975-11-06
Jeffery Anderson,Croatia,1977-08-27
Joseph Chapman,Maldives,1995-04-15
Lauren Fields,Kazakhstan,1990-07-12
Monique Butler,Central African Republic,1961-08-29
Michael Anderson,Romania,1981-03-17
Melissa Gibson,Antigua and Barbuda,1993-07-28
Jaclyn Crane,Netherlands,1999-03-08
Jacob Roberts,Mali,1962-02-18
William Turner,Libyan Arab Jamahiriya,1955-06-29
Richard Fisher,Vietnam,2001-05-27
Cindy Fuentes,Liechtenstein,1954-02-13
Andrea Williams,Liberia,1984-05-19
Stephanie Harrington,Lebanon,1998-03-27
Brandi Taylor,North Macedonia,1978-06-09
Jerry Cline,Greece,1958-09-28
Loretta Hughes,United Arab Emirates,1974-12-19
Tina Wu,Saint Pierre and Miquelon,1968-09-16
Christopher Johnson,Norfolk Island,1996-03-16
Kristina Martinez,Monaco,1958-07-10
Kimberly Todd,Montenegro,1981-08-30
Kathryn Smith,Palestinian Territory,2003-08-17
Albert Buchanan,Ecuador,1997-12-25
Lauren Miller,Martinique,1986-03-04
Andrew Atkins,Angola,1972-01-10
Alexander Rice,Hong Kong,1967-08-22
Brett Jackson,Cambodia,1963-09-10
Brittany Farley,Philippines,1962-12-23
Erika Johnson,Azerbaijan,1969-10-21
Charles Orozco,Eritrea,1973-11-29
Barbara Harris,Sao Tome and Principe,1985-08-25
Jordan Gordon,Zambia,1960-02-09
John Russell,Liberia,1955-07-17
Susan Smith,Micronesia,2005-01-26
Danielle Peters,Solomon Islands,1960-08-30
Jill Mathis,Macao,1964-10-16
Jacqueline Galloway,Slovenia,1967-01-01
Tonya Peters,Armenia,1954-01-23
Ronald Roberts,Chad,1954-01-14
Karen Harper,Taiwan,1990-01-18
Dr. Christy Pittman MD,Central African Republic,1993-03-09
Elizabeth Foster,British Virgin Islands,1998-01-09
Yvonne Johns,Cote d'Ivoire,1986-05-13
Emily Fleming,Guam,1987-09-03
Michelle Nelson,Panama,2006-02-09
Joe Greene,Andorra,2002-06-14
Thomas Lynch,Albania,2001-10-14
Jennifer Woodard,Romania,1979-12-04
Brad Mcdowell,Pakistan,1958-02-12
Ronnie Powers,Peru,1960-07-20
Jamie Burke,Iceland,1963-05-26
Melissa Smith,Kyrgyz Republic,1973-08-23
Adam Paul,Senegal,1968-11-28
Heather Davis,Nicaragua,1987-02-23
Connie Baird,Guyana,1955-12-17
Michael Obrien Jr.,Swaziland,1987-11-05
Donald Mason,Chile,1983-04-03
Krystal Fleming,Mongolia,1963-04-24
Nichole Anderson,Venezuela,1984-03-19
Joseph Casey,Congo,1998-12-08
Wayne Byrd,Nicaragua,1967-06-01
Jordan Pace,Norway,1989-09-06
Sarah Morris,Tanzania,2006-10-01
Michael Owens,Guyana,1981-06-04
Nathan Williams,Uruguay,1976-04-09
Aaron Lee,Belgium,2000-08-26
Wanda Perez,Portugal,1976-06-21
David Martin,Georgia,1957-05-04
Alyssa Reynolds,Anguilla,1985-05-31
Felicia Wright,Botswana,1979-02-09
Sandra Underwood,Mali,1996-02-05
Patricia Harvey,Serbia,1959-01-29
Calvin Villegas,United States Virgin Islands,1955-10-11
Ryan Brown,Brunei Darussalam,1957-04-18
Amy Bishop,Jersey,1957-06-30
Kristin Phillips,Hong Kong,1975-04-19
Jennifer Hancock,Solomon Islands,1988-12-21
James Pope,Turkmenistan,1986-11-18
Matthew Lowe,Anguilla,1978-01-28
Corey Garcia,Nepal,1991-10-25
Sara Strong,Brunei Darussalam,1987-10-16
Jason Hardy,Kenya,1963-11-12
Andrew Anderson,Myanmar,1977-02-09
Nicole Collins,Turks and Caicos Islands,1982-09-09
John Morrison,French Guiana,1973-07-22
Kevin Gregory,Azerbaijan,1966-08-04
Kristin Brown,Guatemala,1964-05-13
Terry Glover,Guam,1964-01-17
Michael Mcdonald,Puerto Rico,1971-07-24
Tonya Jensen,Italy,1971-06-05
Shawn Lozano,Lithuania,1965-08-21
Daniel Hall,Nigeria,1965-04-21
Dr. Robert Aguirre,Honduras,1964-11-21
William Cox,Barbados,1972-12-22
Brenda Alexander,Norfolk Island,1985-01-18
Amanda Johnson,Congo,1969-01-24
Dennis Thompson,Tanzania,1983-05-26
Alex Cameron,United States Minor Outlying Islands,1959-05-16
Breanna Pena,Turks and Caicos Islands,1959-11-22
Elizabeth Allen,Sudan,1973-09-28
Joseph Lloyd,Nigeria,2000-09-26
Ana Thomas,Uzbekistan,1960-12-09
Joseph Benson,Ghana,1985-10-14
Dana Williams,Nicaragua,1985-02-19
Elizabeth Hernandez,Egypt,1956-10-30
Shelley York,Myanmar,2000-12-15
Brad Ruiz,Panama,1986-08-06
James Khan,Sao Tome and Principe,1980-12-29
Mr. Frank Brooks DDS,Saint Barthelemy,2004-08-30
Kevin Little,Somalia,1984-12-16
Daniel Harris,Tokelau,1966-06-07
Jeffery Bennett,Cayman Islands,2003-08-04
Joshua Taylor,Belize,1969-08-24
Crystal Williams,Malaysia,1986-12-05
John Ortiz,Spain,1980-05-18
Alexander Alexander,Estonia,1988-03-18
Bradley Kirby,Malaysia,1982-12-25
Donald Perez,British Indian Ocean Territory (Chagos Archipelago),1957-10-16
Curtis Gonzalez,Greenland,1967-04-05
Patricia Bruce,Comoros,1991-05-29
Dr. Nicole Singh DVM,Algeria,1994-10-28
Gregory Shea,Yemen,1975-07-07
Mary Kennedy,Malaysia,2006-06-10
Sharon Perez,Saint Kitts and Nevis,1993-09-17
Jose Hartman,Saudi Arabia,1978-11-07
Gina Miller,Tanzania,1963-12-19
Melissa Clark,Korea,1999-03-20
Charles Russo,Gambia,2004-01-03
Robert Flowers,Guadeloupe,1965-12-17
Paul Farmer,Portugal,1982-07-02
Alexander Floyd,Uzbekistan,1961-05-20
Wendy Carroll,South Georgia and the South Sandwich Islands,1985-12-19
Sharon Baird,Costa Rica,2004-04-15
James Wells,Greenland,1984-03-11
Steven Davis,Bosnia and Herzegovina,1989-10-11
Ronald Morrison,Anguilla,1963-11-26
Victor Campbell,Djibouti,1969-06-09
Jordan Wood,Algeria,1963-02-12
Jennifer Moore,Bouvet Island (Bouvetoya),1960-11-07
Patrick Price,United Kingdom,1999-11-22
Daniel Reynolds,Russian Federation,1989-03-30
Kenneth Collins,Cook Islands,1980-08-21
Desiree Smith,Cambodia,1977-08-19
Lisa Wright,Greenland,2002-04-03
Julia Johnston,Saint Pierre and Miquelon,1958-11-02
Tamara Reed,Tajikistan,1991-09-23
Louis Patrick,China,1976-01-03
Luke Reynolds,Hungary,2002-04-13
Keith Long,Yemen,1956-04-28
Brooke Khan,Mauritania,1969-06-24
Melissa Bowen,Cuba,2002-03-04
Philip Martinez,Heard Island and McDonald Islands,1958-01-24
Randall Nguyen,Korea,1962-09-29
Andrew Johnson,Northern Mariana Islands,1990-10-25
Jane Reese,Togo,1964-04-24
David Fletcher,Burkina Faso,1971-05-07
Kari Jones,Mexico,1988-10-30
Jessica Ruiz,Fiji,1998-08-11
Albert Garcia,French Polynesia,1960-08-03
Caroline Powers,Algeria,1989-11-28
Hunter Robinson,Antigua and Barbuda,2001-04-27
Jessica Williams,North Macedonia,1997-01-07
Michelle Prince,Iceland,1990-08-06
Kyle Williams,Honduras,1994-08-31
Jade Allen,Bermuda,1954-11-10
Adrian Hoover,Pitcairn Islands,1989-06-18
Stephen Robles,Switzerland,1989-03-16
Amanda Hunt,Suriname,1971-05-07
Chelsey Clark,Mauritius,1974-12-12
David Rodriguez,Gibraltar,1963-03-18
Eugene Price,Kuwait,1965-09-03
Diana Hanson,Aruba,1957-07-30
Eric George,Bosnia and Herzegovina,1991-10-10
Tammy Carroll,El Salvador,2004-11-01
Vicki Horton,Philippines,2003-01-04
Brandi Thompson,Senegal,2000-11-09
Samuel Olson,Grenada,1954-12-11
Joann Dixon,Saint Vincent and the Grenadines,1966-04-30
Virginia Hall,Nicaragua,1994-03-26
David Patterson,Ecuador,1986-11-09
James Phillips,Canada,1973-12-03
Cynthia Swanson,Yemen,1977-07-11
Brandy Stewart,Solomon Islands,1994-04-25
Vanessa Wong,France,1993-10-15
Nicholas Cooper,Costa Rica,1982-08-04
Mary Wright,Poland,1990-11-29
Shane Boyd,Cocos (Keeling) Islands,1977-06-15
Sergio Jones,Congo,1956-10-08
Teresa Martinez MD,Mexico,1998-01-23
Cynthia Miller,Saint Kitts and Nevis,1978-10-06
Craig Coleman,New Caledonia,1967-03-16
Jerome Reid,Faroe Islands,1999-09-19
Dr. Ian Gray,Latvia,1977-05-27
Nancy Wolf,Svalbard & Jan Mayen Islands,2004-07-22
Dr. Jeffery Miller,United States of America,2002-11-07
Brittany Barber,Equatorial Guinea,1974-03-04
Douglas Hart,Liberia,1957-10-27
John Moore,Comoros,1954-03-25
Monica Brooks,Iraq,2003-01-26
Tracy Brooks,Liechtenstein,1970-04-28
Mrs. Stacey Riddle,British Virgin Islands,1974-05-28
Cheyenne Graham,Equatorial Guinea,1994-11-20
Hannah Fletcher,North Macedonia,1990-07-01
Marilyn House,Saint Pierre and Miquelon,1967-02-02
Thomas Ward,Romania,1989-11-10
Maria Green,Korea,2004-01-21
David Lane,Panama,1998-08-11
Ray Newman,United States Virgin Islands,1974-05-19
Valerie Miller,United States of America,1964-01-07
Ronald King,Gabon,1980-07-17
Stacie Willis,Saint Martin,1975-10-28
Monica Davis,North Macedonia,1984-05-10
Robin Adams,Cote d'Ivoire,2003-04-20
Eric Benitez,Suriname,1980-01-26
Raymond Butler,Israel,1988-09-12
Carolyn Brooks,Romania,1961-02-16
Mr. Brian Bradley,Croatia,1963-11-06
Clayton Malone,Eritrea,2006-02-07
Jessica Durham,Botswana,2000-01-12
Edward Gray,Falkland Islands (Malvinas),1957-05-31
David Washington,Senegal,1959-05-09
Paul Smith,Myanmar,1995-11-02
Daniel Conner,Honduras,1985-12-19
Dr. Tara Kennedy,Guadeloupe,1986-01-15
Michael Cooper,Germany,1997-04-20
Mary Gray,Azerbaijan,2005-09-12
Renee Smith,Trinidad and Tobago,1991-01-07
Stacy Taylor,Netherlands,1960-07-09
Tiffany Walton,Egypt,1973-07-15
Mary Alvarez,Isle of Man,1988-12-31
Mark Mcmahon,Gibraltar,1954-11-21
Angel Aguirre,Greece,1989-12-09
John Stevenson,South Africa,1958-04-28
Timothy Galvan,Palestinian Territory,1999-06-08
Morgan Carter,Congo,1991-09-28
Sherri Glover,Saint Barthelemy,1980-10-02
Robert Turner,Peru,2006-10-24
Mrs. Stephanie Friedman,Liberia,1989-02-16
Daniel Mullins,Palestinian Territory,1991-02-07
Wyatt Johnson,Vanuatu,2003-03-30
Pamela Robinson,Equatorial Guinea,1989-04-21
Meagan Wade,Uzbekistan,1982-05-04
Ann Holt,Tunisia,1965-11-14
Tammy Brown,Guam,1973-12-28
Nancy James,Norway,1995-08-14
Jessica Hall,Eritrea,1960-02-21
Brandon Yang,Vietnam,1963-12-25
Laura Anderson,Germany,2004-07-28
April Brown,Mauritania,1964-01-27
Jeff Wise,South Georgia and the South Sandwich Islands,1990-01-04
Kelly Guzman,Cyprus,1959-08-29
Samuel Stewart,Suriname,2003-12-25
Kathryn Bryant,Netherlands Antilles,1969-01-10
Sarah Carey,Antigua and Barbuda,1985-10-01
William Martinez,Thailand,1991-06-15
Ronald Simpson,Romania,2005-03-26
Robert Hernandez,Saint Barthelemy,1965-03-04
Rita Graves,Austria,2002-12-08
Shannon Luna,French Southern Territories,2006-03-07
Sarah Ritter,Mexico,1974-10-19
John Bailey,India,1974-09-26
Diane Horton,Congo,1991-03-03
Anne Morris,Somalia,1984-10-08
Sarah Mckinney,Kuwait,1988-09-14
Jessica Olson,Ukraine,1961-09-07
Paul Moss,Algeria,1973-03-16
Ashley Floyd,Togo,1961-10-31
Jessica Skinner,Vanuatu,1956-12-29
John Landry,British Indian Ocean Territory (Chagos Archipelago),2005-12-18
Leslie Booker,Niue,1992-04-21
Bryan Sanders,Gabon,1990-06-21
Marissa Bennett,Puerto Rico,2006-07-16
Ann Ford,Svalbard & Jan Mayen Islands,1988-06-22
Matthew Richardson,British Indian Ocean Territory (Chagos Archipelago),1960-03-10
Martin Kerr,Czech Republic,1955-03-25
Laura Hill,Samoa,1959-01-08
Janet Cooke,Reunion,1976-12-28
Ariana Brown,United States of America,1999-09-15
Jennifer Haynes,India,1983-06-25
Robin Freeman,Maldives,1998-05-18
Sabrina Pearson,Sao Tome and Principe,1993-12-01
Stephanie White,Netherlands Antilles,1990-11-08
Jeremy Edwards,Armenia,1960-11-01
Christopher Hart,Thailand,1993-12-02
Caleb Evans,Mayotte,1963-02-07
Mary Wright,Aruba,2004-02-27
Rachel Hopkins,Kenya,1961-06-03
Erik Bartlett DVM,New Caledonia,1982-07-14
Brett Weiss,Dominica,1955-12-16
Scott Lewis,Burkina Faso,1985-12-03
Ian Anderson,Nigeria,1976-05-17
Debbie Santos,Central African Republic,1975-03-19
David Coleman,Puerto Rico,1961-08-07
Mark Adams,North Macedonia,1990-12-09
Jacob Sandoval,Swaziland,1981-02-11
Roberto Stewart,Solomon Islands,1976-12-28
Larry Jones,British Virgin Islands,1982-03-06
Jennifer Murphy,Benin,1973-03-28
Donald Melton,Czech Republic,1968-07-06
William Walker,Zambia,1959-07-29
Casey Chandler,Gambia,1985-03-20
Anna Bailey,Montserrat,1999-11-16
Lisa Mosley,Chile,1970-11-11
Catherine Shaffer,Philippines,2005-04-24
Linda Atkinson,Lesotho,1985-05-26
Michael Reeves,Palestinian Territory,1960-09-15
Nicolas Brown,Saint Kitts and Nevis,1987-11-20
Richard Gregory,Italy,1991-06-20
William Lindsey,Macao,1969-03-18
Kelly Higgins,Uzbekistan,1997-02-24
Scott Meza,Ireland,1994-11-06
Madison Jones,Dominican Republic,2004-02-01
Anthony Paul,Micronesia,2003-04-11
Alexandra Vaughan,Philippines,1980-12-20
Karen Robertson,Philippines,2001-01-28
Jennifer Jensen,United States Minor Outlying Islands,1998-01-27
Jeffery Ferguson,Guatemala,1966-12-14
Tiffany Morrow,Turkmenistan,2004-02-03
Amanda West,Chile,1989-10-04
Kelly Walker,Belarus,1973-06-18
Harry Williams,Lithuania,1974-02-06
Brian Sloan,Egypt,1998-02-02
Shannon Roberts,Liberia,1969-07-26
Oscar Carroll,Cuba,2002-12-06
Tina Robertson,Uganda,1955-11-20
Luke Freeman,Guinea-Bissau,1954-04-28
Edwin Rodriguez,Guernsey,2001-03-10
Henry Garcia,Liechtenstein,1964-06-24
Stephanie Jenkins,United States Minor Outlying Islands,1979-11-04
Matthew Perez,Indonesia,1973-11-05
Steven Herrera,Ethiopia,1959-10-09
Ryan Martin,Guinea,1993-08-09
Stephen Fletcher,Bouvet Island (Bouvetoya),1964-01-21
James Manning,United Arab Emirates,1955-09-07
Tiffany Moyer,Ethiopia,1960-04-21
Jon Maldonado Jr.,Sao Tome and Principe,1994-07-10
Kathryn Mclean,Tajikistan,1997-10-07
Tyler Sparks,Brunei Darussalam,1962-04-02
Pamela Young,Philippines,1997-12-27
Kyle Smith,Lesotho,1969-05-08
Dr. David Hernandez,Malawi,1963-11-30
Brian Baker,Reunion,1967-02-13
Christina Mccarthy,Sudan,1959-06-22
Lisa Lopez,Timor-Leste,1985-05-05
Crystal Anderson,Argentina,1968-07-10
Charles Smith,Cook Islands,1958-10-30
Jason Torres,North Macedonia,2005-12-15
Jeffery Brown,Japan,1988-02-19
Derrick Ramirez,Guernsey,1991-09-21
Steven White,Afghanistan,1956-10-09
Christy Kennedy,United States of America,1986-02-26
David Henry,Grenada,1970-02-20
Adam Arnold,Tokelau,1960-11-30
Robert Paul,Namibia,1982-01-14
Matthew Clark,Hungary,1958-08-19
Mark Guzman,Armenia,1985-02-04
Martha Lee,Romania,1977-08-20
Tom Montgomery,Gabon,1992-06-14
Christina Le MD,Congo,1976-03-04
Stephanie Malone,Tanzania,2002-01-26
Stephanie West,Saint Barthelemy,1960-03-26
John Mills,Zambia,1980-09-17
Kyle Horton,Bulgaria,1969-05-12
Amy Compton,Comoros,1993-04-07
Michael Berg,Belarus,1962-10-13
Janet Chan,Iran,1986-03-11
Aaron Armstrong,Nauru,1990-12-08
Rachel Gibson,Russian Federation,1992-03-13
Samuel Phillips,Ethiopia,1983-04-10
Angel Allen,Armenia,1987-11-28
Diana Anderson,Tunisia,1995-11-29
Danielle Colon,Martinique,1960-03-02
Mackenzie Compton,Greece,1958-06-03
Kirsten Bowen,Ireland,2001-08-14
William Garrett,Algeria,1997-09-04
Vincent Thompson,Andorra,1982-06-28
Paula Deleon,Botswana,1992-04-22
Theresa Scott,Niue,1987-08-17
Ruth Walker,Ethiopia,1964-10-25
Shannon Foster,Kiribati,1966-04-16
Jackie Barrera,Bermuda,1980-04-17
Robert Thompson,Montenegro,1980-01-03
Maria Smith,Central African Republic,2000-12-04
Melissa Lopez,Cambodia,1957-10-29
Terry Waller,Bolivia,1992-05-25
Paul Smith,Bolivia,1974-01-13
Ronald Hines,Norway,2003-07-19
Randy Adams,Wallis and Futuna,1987-04-05
Vincent Rosario,Botswana,1982-10-03
Sarah Miller,Burundi,1979-06-22
Jill Martin,Greenland,1979-05-23
Joshua Adams,Mayotte,1960-07-13
Ashley Phillips,Malawi,2000-12-28
Aaron Walker,Denmark,1976-08-24
Matthew Perez,Turkmenistan,1990-04-13
Michelle Valenzuela,Liechtenstein,1962-12-30
Brian Sosa,Guinea-Bissau,1958-01-19
Isaac Middleton,Belize,2001-06-22
Cassandra Moreno,Netherlands Antilles,1963-08-15
Steven Mcdaniel,Nigeria,1997-05-04
Brian Hendricks,Panama,1973-07-28
Terry Lindsey,Solomon Islands,1954-02-15
Brittany Rios,Ghana,1961-11-03
Robert Bray,Suriname,1957-07-30
Tina Ramirez,Bermuda,1971-02-17
Randall Gomez,Lithuania,1976-06-21
Jennifer Leon,Grenada,1961-05-02
Tammy Reyes,Mexico,1980-05-09
Kim Underwood,Hungary,1958-06-10
Kelsey Frank,Sudan,1993-09-01
Cynthia Smith,Thailand,1954-12-02
Tina Mccall,Bahamas,2002-04-24
Samuel Osborne,Burundi,1969-08-17
Samuel Bonilla,United States Minor Outlying Islands,1976-04-29
Danny Burgess,British Indian Ocean Territory (Chagos Archipelago),2004-12-30
Jamie Johnson,Jamaica,1973-09-16
Mary Jones,Taiwan,1985-06-27
Charles Thomas,Ecuador,1958-02-03
Robin Hernandez,Cocos (Keeling) Islands,1978-11-27
Joseph Rush,Latvia,1975-10-27
Richard Dominguez,France,1959-11-27
Marvin Munoz,China,1980-09-06
Ronnie Frazier,Turkey,1978-02-01
Deanna Armstrong,Gambia,1991-08-09
Christopher Dudley,Mali,1974-01-07
Natalie Morales,Azerbaijan,1965-08-11
Paul Hansen,Tajikistan,1958-02-06
Karen Delgado,Iraq,1997-11-07
Robert Lucas,Congo,1968-04-25
Jack Maxwell,Grenada,1955-06-30
Joshua Jones,Nepal,1954-08-04
Chelsea Harris,Vanuatu,1955-09-22
William Cunningham,Mongolia,2006-04-17
Mr. Brandon Parker,Guinea-Bissau,1993-11-06
Kathryn Edwards,India,1992-06-20
Michele Davis,Ireland,2001-07-10
Kathryn Hampton,Anguilla,1985-02-16
Kevin Christian,French Guiana,1962-07-21
Angela Garrett,Zambia,1992-02-02
Rhonda Pena,Seychelles,1992-02-03
Kathryn Gay DDS,Mali,2003-04-24
Richard Morgan,Guyana,1987-01-20
Amanda Marquez,Pitcairn Islands,1974-07-21
Leroy Jones,Cape Verde,1984-01-21
Anne Smith PhD,Georgia,1983-01-03
Rachael Miller,Bhutan,1978-02-11
Edward Jones,Morocco,1973-04-07
Christopher Ingram,Eritrea,2006-04-10
Pamela Ramos,Uzbekistan,1961-06-14
Keith Williams,Togo,1969-03-14
Manuel Becker,Kazakhstan,1973-06-12
Tiffany Brooks,Pitcairn Islands,1975-11-28
Shawn Esparza,Armenia,1986-11-25
Natalie Sanchez,Swaziland,1983-09-24
Brian Bennett,Montenegro,1975-03-04
James Ford,Bermuda,1972-07-02
Joseph Cardenas,Botswana,1958-07-23
Sylvia Nielsen,Seychelles,1976-12-18
Austin Peterson,Netherlands,1979-10-13
Karen Ramirez,Argentina,1982-11-24
Brianna Lewis,Montenegro,1955-09-02
Jamie Mayer,Guyana,1995-11-09
Cindy Lewis,Angola,2004-07-01
Debra Reid,Belize,1961-07-09
Brad Russo,Korea,2000-03-09
Mckenzie Green,Switzerland,1956-11-09
Jessica Richmond,French Southern Territories,1962-09-24
Jason Alvarez,Portugal,1995-07-21
Jessica Gaines,Montserrat,1974-08-19
Richard Harper,Belarus,1992-04-24
Brianna Beck,Swaziland,2003-10-10
Nancy Stewart,Canada,2001-07-10
Kathryn Stewart,Somalia,2005-06-01
Joseph Smith,Korea,2004-01-02
Madison Fowler,Mozambique,1959-03-05
William Fisher,Mayotte,1995-01-19
Cindy Clark,Comoros,2005-07-06
Alexis Cervantes,Andorra,1970-01-05
Robert Martinez,Luxembourg,1988-05-26
Jason Bell,Mauritius,1976-07-30
Gabriella House,Kuwait,1976-09-17
Kurt Daniels,Hong Kong,1969-02-11
Melanie Walters,Reunion,1986-11-21
Shannon Cowan,Sri Lanka,1998-05-20
Alan Randolph,Bosnia and Herzegovina,1980-04-26
Tammy Garcia,Kenya,1980-09-08
Mary Christian,Croatia,1965-10-27
James Gonzalez,Latvia,2004-05-21
Riley Marshall,United States of America,1997-06-28
Natalie Smith,Holy See (Vatican City State),1995-06-19
Debra Hopkins,Gambia,1998-06-13
Jennifer Allen,United Arab Emirates,2002-03-10
Alexander Gibbs,Tajikistan,1997-04-17
Lindsay Rogers,Montserrat,2006-08-18
William Lee,Norway,1974-11-08
Timothy Patterson,Wallis and Futuna,1987-09-24
Carrie Strong,Maldives,1962-05-29
Michael Martinez,British Indian Ocean Territory (Chagos Archipelago),1987-06-23
Sarah Burton,Eritrea,1998-05-22
Frank Davis,Anguilla,1977-03-11
Leslie Johnson,Russian Federation,1982-10-28
Laura Johnson,Saint Martin,1960-12-05
Mark Howard,Dominican Republic,1988-08-04
Cory Pittman,Saint Kitts and Nevis,1995-05-08
Patricia Hopkins,Falkland Islands (Malvinas),1958-05-29
Alexander Mercer,Tonga,1959-06-28
Kyle Rodriguez,Finland,1967-11-23
Billy Kirk,United States Minor Outlying Islands,1998-06-10
John Johnson,Barbados,1979-10-18
Christine Barnes,Tuvalu,1970-08-18
Rhonda White,Algeria,2001-11-25
Lynn Bond,British Indian Ocean Territory (Chagos Archipelago),2005-09-24
Karen Mendez DDS,Cayman Islands,1981-08-30
Bryan Obrien,Mauritania,1955-03-25
Brittany Camacho,Brazil,2001-08-19
Charles Miller,Puerto Rico,2003-10-27
John Ashley,Guernsey,1991-07-16
Julie Lamb,Jordan,1981-03-07
Corey Thompson,Poland,1998-11-06
Tonya Garcia,South Africa,1994-08-18
Robert Mckay,Libyan Arab Jamahiriya,1976-12-25
Kyle Nelson,Ghana,1987-01-09
Jessica Bradley,Holy See (Vatican City State),2001-08-06
Joanna Preston,Malawi,1967-06-03
Larry Wiley,Zambia,2005-02-28
Allen White,Gibraltar,1976-10-07
David Lewis,Holy See (Vatican City State),1973-09-21
Barbara Flores,Algeria,1991-12-31
Keith Morris,Djibouti,1983-10-11
Lance Rose,Bosnia and Herzegovina,1983-09-28
Theresa Aguirre,Paraguay,1957-12-22
Jennifer Avila,Ghana,1997-02-12
Anthony Snyder,Aruba,2006-06-29
Caleb Jackson,Greece,1985-05-04
Alex Smith,Slovenia,1999-05-20
Susan Mitchell DVM,Iraq,1955-12-21
Kelsey Rogers,Andorra,1957-09-09
Robert Cummings,Falkland Islands (Malvinas),1970-10-27
Bobby Hampton,Lithuania,1986-06-18
Michael Gibson,Thailand,1987-12-27
Sarah Pace,Bosnia and Herzegovina,1955-07-24
Adam Garcia,Gibraltar,1999-08-30
Courtney Miller,Saint Kitts and Nevis,2001-10-30
Steven Mayo,Vietnam,1990-06-26
Stephen Williams,Australia,2004-03-16
Gary Salazar,Sudan,1974-02-15
Tammy Silva,British Indian Ocean Territory (Chagos Archipelago),1960-09-13
Nicole Barron,Ukraine,1975-11-30
Bryan Rose,Morocco,1979-05-04
Douglas Barton MD,Bermuda,1967-12-28
Bradley Hansen,Tunisia,1966-11-08
Savannah Neal,Belarus,2005-07-06
Adam Robinson,Svalbard & Jan Mayen Islands,1974-06-01
Gilbert Cervantes DDS,Malaysia,1999-07-05
Emily Gibson,Cape Verde,1998-12-10
Carlos Rangel,Hungary,2005-09-08
Kayla Deleon,Comoros,1957-08-24
Michael Lynn,Morocco,1988-05-16
Shawn Mcgee,Dominican Republic,1954-11-21
Derek Alvarez,Marshall Islands,1977-12-31
Timothy Miller,Jersey,1965-04-01
Jeffrey Cook,Kazakhstan,1968-06-15
Matthew Dennis,Jamaica,1964-04-15
Christopher Hill,New Caledonia,1980-03-03
Michael Lucas,Bouvet Island (Bouvetoya),1965-08-24
Andrew Adams,Bahrain,1982-03-19
Stephen Lyons,Iraq,1974-10-12
Nicholas Suarez,Ethiopia,1980-04-02
Dalton Walsh,Romania,1985-08-12
Anna Gordon,Reunion,1986-12-24
Sarah Watts,Chile,1970-09-16
Cody Yoder,Cambodia,2005-01-03
Jessica Smith,Estonia,2000-09-18
Philip Smith,Guinea,2005-05-24
Katherine Wright,Bouvet Island (Bouvetoya),1956-05-27
Michael Roberts,Denmark,1981-11-06
Charles Davis,Gabon,1996-08-12
John Bell,Mayotte,1967-08-25
Mr. Adam Gomez,Russian Federation,1971-09-12
Mary Grimes,Tajikistan,1985-08-01
Michael Chandler,Angola,1961-11-06
Daniel Mcknight,Guinea-Bissau,1980-05-24
Patrick Mcpherson,Guyana,1964-12-10
Thomas Gray,Botswana,2005-03-06
Meghan Nolan,Korea,2006-05-03
